title,majors,num_majors
I’m going to halve my publication output. You should conside...,"Environmental Science, Biology",2
‘Greed is the iron cage of our times’ — why nationalism is h...,"Political Science, Sociology",2
Little red dots as young supermassive black holes in dense i...,Physics,1
A ‘time capsule’ for cells stores the secret experiences of ...,"Biology, Psychology",2
Daily briefing: Symbols on ancient pottery could be earliest...,"Mathematics, Applied Mathematics",2
Can ‘toxic masculinity’ be measured? Scientists try to quant...,"Sociology, Psychology",2
Forget formalism: mathematics was built on infighting and em...,"Applied Mathematics, Mathematics",2
What happens if fewer children get vaccinated? Japan holds l...,Public Health,1
Making progress on global health will need high-quality evid...,Public Health,1
Humanoid robots step up their game: how useful are the lates...,"Chemistry, Artificial Intelligence",2
Ageing rewires the body’s tolerance to infection...,"Public Health, Biomedical Engineering",2
LLMs behaving badly: mistrained AI models quickly go off the...,Artificial Intelligence,1
Predicting the fate of tropical forests under intensifying h...,Environmental Science,1
AI tools boost individual scientists but could limit researc...,"Neuroscience, Biology",2
Stretchy organic LED devices with an ‘exciplex’ state are hi...,"Chemistry, Materials Science",2
Collective intelligence for AI-assisted chemical synthesis -...,Chemistry,1
The effect of dopamine D2-like receptor blockade on human mo...,Neuroscience,1
Study decision-making to understand how technology will affe...,"Cognitive Science, Marketing",2
Biosensors characterize the routes taken by receptors to dif...,Biomedical Engineering,1
Microbiota-induced T cell plasticity enables immune-mediated...,Biology,1
A cautiously optimistic view on large language model use aga...,"Artificial Intelligence, Cognitive Science",2
The dynamics of state math anxiety vary by paradigm and timi...,"Applied Mathematics, Cognitive Science",2
Wafer-scale high-κ HfO2 dielectric films with sub-5-Å equiva...,"Materials Science, Biomedical Engineering",2
Mapping the effects of gender-affirming sex hormone therapy ...,"Psychology, Public Health",2
Coral tissue depth reconstructed using skeletal microstructu...,"Environmental Science, Biomedical Engineering",2
Plan meta-objective for sub-micron quantitative phase imagin...,"Materials Science, Neuroscience",2
Neuroscientists must not be afraid to study religion...,Neuroscience,1
Evaluation of immuno-oncologic biomarkers and β-catenin expr...,"Biomedical Engineering, Materials Science",2
The influence of study area selection and landslide inventor...,"Civil Engineering, Sociology",2
Influence of objective and perceived exposures to urban natu...,"Sociology, Civil Engineering",2
"To improve resilience to climate change, track what endures...",Environmental Science,1
Bringing methylation profile scores to early life - Nature R...,"Psychology, Biology",2
Unveiling the significance of Netrin-1 and Netrin-4 in metab...,"Neuroscience, Chemistry",2
A meta-analysis assessing the effectiveness of demand-side i...,"Public Health, Marketing",2
Design for end of life: how circularity can offer a differen...,Environmental Science,1
Shining a light on orphan GPCRs - Nature Chemical Biology...,"Chemistry, Biology",2
Charting our forest future: national supply curves for fores...,Environmental Science,1
Soft organic electrochemical neurons operating at biological...,"Neuroscience, Biomedical Engineering",2
Comment on: “Current and emerging strategies for myopia cont...,"Cognitive Science, Neuroscience",2
Fossil-fuel phase out is not enough: countries must remove a...,Environmental Science,1
The geomorphic scar of fire - Nature Geoscience...,"Environmental Science, Biology",2
Prevalence of suicidal behavior in nigeria: a systematic rev...,Psychology,1
Green innovations are the best policy option for reducing gr...,"Environmental Science, Public Health",2
"An everyday-task-focused, strategy-based educational program...",Psychology,1
One year of Nature Reviews Biodiversity - Nature Reviews Bio...,Environmental Science,1
Embracing a 24-hour cycle in urban governance - Nature Citie...,"Sociology, Civil Engineering",2
Scaling to new heights: methodological insights for upliftin...,"Sociology, Marketing",2
Scene-level movie data from Amazon X-Ray in the US market co...,"Data Science, Physics",2
Response to comment on: A novel rat model for investigating ...,Biomedical Engineering,1
A zero-shot learning framework for chilli leaf disease detec...,"Public Health, Artificial Intelligence",2
Why culture is key to waste management - Nature Human Behavi...,"Civil Engineering, Cognitive Science",2
Multiparametric MRI radiomics nomogram predicts synchronous ...,"Data Science, Neuroscience",2
Enhancing dietary management and nutritional analysis throug...,Artificial Intelligence,1
Comment on: ‘Thyroid eye disease and steroid therapy: risk s...,Public Health,1
Field-tailoring quantum materials via magneto-synthesis: met...,Materials Science,1
The astronomical year ahead - Nature Astronomy...,"Physics, Environmental Science",2
Near-100% site utilization of single atoms for efficient ele...,Chemistry,1
Dilemmas and reflections: an observation of violent crimes a...,"Sociology, Psychology",2
Related microorganisms occupy similar ecological communities...,Biology,1
Environmentally sustainable kidney care in low- and middle-i...,"Public Health, Civil Engineering",2
Exploring and visualizing stratified GWAS results with PheWe...,Biology,1
Social change in science and the courtroom - Nature Reviews ...,Psychology,1
Taming polyiodide flow with electroactive mediators - Nature...,"Chemistry, Biomedical Engineering",2
Why 50-year studies are needed in a 3-year-grant world - Nat...,Environmental Science,1
Novel insights into chronic HBV infection - Nature Reviews G...,"Public Health, Biology",2
A monolithic three-dimensional integrated red micro-LED disp...,"Electrical Engineering, Biomedical Engineering",2
Response to ‘Towards an individualized strategy in periopera...,"Chemistry, Business",2
A demographic comparison of NASA astronauts and commercial s...,Sociology,1
NASA won’t bring Mars samples back to Earth: this is the sci...,"Biology, Biomedical Engineering",2
Xylosyltransferase engineering to manipulate proteoglycans i...,"Biology, Biomedical Engineering",2
Interaction mechanisms between liquid organic matter and sol...,"Chemistry, Materials Science",2
Multidimensional determinants of generative AI acceptance in...,"Cognitive Science, Artificial Intelligence",2
Magnetism adds a dimension to ammonia oxidation electrocatal...,"Chemistry, Materials Science",2
Cost-effectiveness of lung cancer screening: insights from r...,Public Health,1
Fibrous-layer periosteal stem cells sensing injury-induced i...,Biomedical Engineering,1
Integrated hydrogel microneedle aptamer sensor for wearable ...,Biomedical Engineering,1
Irrigation increased historical land surface and groundwater...,"Civil Engineering, Environmental Science",2
The promises and perils of crime prediction - Nature Human B...,"Sociology, Cognitive Science",2
Beyond neurons: astrocytic ensembles stabilize memories afte...,"Neuroscience, Biology",2
Expression of sphingosine-1-phosphate receptor 1 in the brai...,Neuroscience,1
Supervision of not-for-profit minority institutional shareho...,"Business, Political Science",2
Frequent and clinically relevant germline DNA repair gene va...,Biology,1
Combating cyberbullying with transparency: unveiling the imp...,"Sociology, Political Science",2
The high cost of importing green hydrogen from Africa to Eur...,Environmental Science,1
