major,average_score,max_score,num_articles,top_article,avg_growth,avg_recession_resistance,avg_automation_resistance
Artificial Intelligence,7.910159696118935,9.72316274021611,37,Identification of key factors for early detection of rheumatoid arthritis in primary care using machine learning - Scientific Reports,7.2700000000000005,6.37,5.876666666666666
Public Health,7.8610796390052675,10.715310520620058,55,Artificial intelligence for public health can harness data for healthier populations - Nature Health,7.383333333333333,6.626666666666666,5.996666666666666
Biomedical Engineering,7.848061263771618,9.937599543369178,34,Advances in AI-based patient stratification for rheumatic diseases - Nature Reviews Rheumatology,6.900000000000001,7.146666666666667,5.239999999999999
Applied Mathematics,7.825536494074447,8.083103863831724,2,Interpretable Kolmogorov-Arnold networks for enzyme commission number prediction - npj Artificial Intelligence,6.1899999999999995,6.5600000000000005,4.98
Cognitive Science,7.765201756303962,9.070968219728181,20,The acceptability to patients with macular disease to have retreatment decisions being made by artificial intelligence - Eye Open,6.960000000000001,6.346666666666667,5.03
Computer Science,7.83604654825095,7.896988495913419,2,Discovering the laws behind complex networked systems - Nature Computational Science,7.13,6.605,5.615
Neuroscience,7.5140194678325605,8.500008807182311,19,AI tools boost individual scientists but could limit research as a whole,7.489999999999999,6.726666666666667,5.586666666666666
Marketing,7.445699644084495,8.612871904806658,17,Study decision-making to understand how technology will affect behaviour,7.12,6.609999999999999,6.1000000000000005
Biology,7.428704257967978,8.500008807182311,25,AI tools boost individual scientists but could limit research as a whole,7.466666666666666,6.786666666666666,5.646666666666666
Psychology,7.371216500015487,9.296035969690843,70,Using interdisciplinary dialogue to understand the influence of identities on undergraduate research experiences - Humanities and Social Sciences Communications,7.3500000000000005,6.716666666666666,6.37
Marketing,7.642445131777362,9.093862592794679,24,Scaling to new heights: methodological insights for uplifting research on grassroots digital innovation - Humanities and Social Sciences Communications,7.1499999999999995,6.8566666666666665,6.21
Sociology,7.525823609502669,9.093862592794679,93,Scaling to new heights: methodological insights for uplifting research on grassroots digital innovation - Humanities and Social Sciences Communications,6.903333333333333,6.546666666666667,6.203333333333333
Psychology,7.466786102199357,8.889389359734276,66,How to change research culture with participatory workshops - Nature Human Behaviour,7.116666666666667,6.919999999999999,5.9799999999999995
Civil Engineering,7.412335935464273,8.651629230380058,39,Instant gratification and long-term sustainability: a gender-inclusive approach to social infrastructure in Gilgit-Baltistan road projects - Humanities and Social Sciences Communications,6.57,6.693333333333334,6.293333333333334
Computer Science,7.411510364751924,8.30028490863063,4,Companionship in code: AI’s role in the future of human connection - Humanities and Social Sciences Communications,7.243333333333333,6.626666666666668,5.456666666666667
Computer Science,7.9668494657190845,8.557777847604056,2,Companionship in code: AI’s role in the future of human connection - Humanities and Social Sciences Communications,7.13,6.605,5.615
Electrical Engineering,7.687132575395632,8.534303162534064,4,A systems engineering approach to enhance utilization of renewable energy - Nature Reviews Electrical Engineering,7.053333333333334,6.8933333333333335,6.253333333333333
Marketing,7.519819244366159,9.282487726531379,25,Scaling to new heights: methodological insights for uplifting research on grassroots digital innovation - Humanities and Social Sciences Communications,7.3,6.419999999999999,5.786666666666666
Psychology,7.463382661709295,9.637475239765354,54,Using interdisciplinary dialogue to understand the influence of identities on undergraduate research experiences - Humanities and Social Sciences Communications,7.25,6.94,6.273333333333333
Sociology,7.392345333503291,9.637475239765354,65,Using interdisciplinary dialogue to understand the influence of identities on undergraduate research experiences - Humanities and Social Sciences Communications,7.349999999999999,7.176666666666667,6.22
